rank,selection_tier,task_id,project,issue_id,hard_score,title,source_file_count,changed_lines,test_file_count,test_changed_lines,python_version,has_full_test,warnings,hard_reasons
1,pilot_light,pybughive_black_132,black,132,216,Trailing comma is removed in complex dict literal,3,70,4,89,3.7,True,,3 source files; 70 source changed lines; 4 test files; 89 test changed lines; has broader full-test command; cross-file reference patch
2,pilot_light,pybughive_black_193,black,193,191,can't format python2 valid syntax,2,57,4,185,3.7,True,,2 source files; 57 source changed lines; 4 test files; 185 test changed lines; has broader full-test command; cross-file reference patch
3,full_study_heavy,pybughive_numpy_22714,numpy,22714,186,BUG: `numpy.median()` does not respect `keepdims=True` when the `out` argument is specified,3,71,3,137,3.9,True,heavy_project,3 source files; 71 source changed lines; 3 test files; 137 test changed lines; has broader full-test command; cross-file reference patch; requires API/domain knowledge
4,pilot_light,pybughive_black_133,black,133,181,Failure to reformat a lamba expression,2,81,2,18,3.7,True,,2 source files; 81 source changed lines; 2 test files; has broader full-test command; cross-file reference patch; title mentions 'invalid'
5,pilot_light,pybughive_black_232,black,232,169,Multiline strings cause unnecessary optional parentheses,2,86,1,14,3.7,True,,2 source files; 86 source changed lines; has broader full-test command; cross-file reference patch
6,pilot_light,pybughive_black_1632,black,1632,168,Docstrings reformatted to be too long,3,28,3,132,3.7,True,,3 source files; 28 source changed lines; 3 test files; 132 test changed lines; has broader full-test command; cross-file reference patch
7,pilot_light,pybughive_black_154,black,154,159,Adds blank lines after comment between decorators,2,21,5,62,3.7,True,,2 source files; 5 test files; 62 test changed lines; has broader full-test command; cross-file reference patch; title mentions 'comment'
8,full_study_heavy,pybughive_salt_64430,salt,64430,157,[BUG] regression for user.present on handling groups with dupe GIDs,2,76,1,57,3.8,True,heavy_project,2 source files; 76 source changed lines; 57 test changed lines; has broader full-test command; cross-file reference patch; title mentions 'regression'
9,pilot_light,pybughive_black_183,black,183,156,Different code on second pass,3,46,2,18,3.7,True,,3 source files; 46 source changed lines; 2 test files; has broader full-test command; cross-file reference patch; title mentions 'second pass'
10,full_study_heavy,pybughive_pandas_15055,pandas,15055,153,.str.replace does not accept a repl function,3,92,1,37,3.8,False,heavy_project,3 source files; 92 source changed lines; 37 test changed lines; cross-file reference patch; requires API/domain knowledge
11,pilot_light,pybughive_black_234,black,234,150,Star import after a long path produces invalid code,2,46,2,10,3.7,True,,2 source files; 46 source changed lines; 2 test files; has broader full-test command; cross-file reference patch; title mentions 'invalid'
12,pilot_light,pybughive_black_334,black,334,142,Internal error + error 12/11 with multiple format on/off,2,20,2,31,3.7,True,,2 source files; 2 test files; 31 test changed lines; has broader full-test command; cross-file reference patch; title mentions 'internal error'
13,full_study_heavy,pybughive_poetry_3112,poetry,3112,132,poetry lock/export wrong with sys_platform (works fine on ver 1.0.10),1,86,1,140,3.8,False,heavy_install_steps,86 source changed lines; 140 test changed lines; title mentions 'wrong'
14,pilot_light,pybughive_black_238,black,238,131,Omitting rightmost bracket splits + a moving inline comment causes unstable formatting,2,12,2,42,3.7,True,,2 source files; 2 test files; 42 test changed lines; has broader full-test command; cross-file reference patch; title mentions 'unstable'
15,pilot_light,pybughive_black_112,black,112,129,Cannot parse: 5:0:         # add_compiler(compiler),3,18,1,18,3.7,True,,3 source files; has broader full-test command; cross-file reference patch; title mentions 'comment'
16,pilot_light,pybughive_black_385,black,385,127,`# fmt: off` directly before `yield` only affects the `yield`,2,15,1,72,3.7,True,,2 source files; 72 test changed lines; has broader full-test command; cross-file reference patch
17,full_study_heavy,pybughive_pandas_15420,pandas,15420,120,rank incorrectly orders ordered categories,3,28,1,78,3.8,False,heavy_project,3 source files; 28 source changed lines; 78 test changed lines; cross-file reference patch; title mentions 'incorrect'; requires API/domain knowledge
18,full_study_heavy,pybughive_pandas_15447,pandas,15447,102,Wrong result of pandas.sparse.series.SparseSeries.loc with indexer of length 1,2,28,1,53,3.8,False,heavy_project,2 source files; 28 source changed lines; 53 test changed lines; cross-file reference patch; title mentions 'wrong'; requires API/domain knowledge
19,full_study_heavy,pybughive_salt_62336,salt,62336,99,[BUG] no access to opts and sls vars in pyobjects renderer,2,21,1,75,3.8,True,heavy_project,2 source files; 75 test changed lines; has broader full-test command; cross-file reference patch
20,full_study_heavy,pybughive_pandas_14580,pandas,14580,91,BUG: iloc misbehavior with pd.Series: sometimes returns pd.Categorical instead,2,50,1,21,3.8,False,heavy_project,2 source files; 50 source changed lines; cross-file reference patch; requires API/domain knowledge
21,full_study_heavy,pybughive_poetry_3098,poetry,3098,86,Nested relative directory dependency failing to resolve.,1,9,9,177,3.8,False,heavy_install_steps,9 test files; 177 test changed lines; title mentions 'nested'
22,full_study_heavy,pybughive_pandas_14390,pandas,14390,85,BUG: Line delimited json is breaks if string includes `}`,3,39,1,6,3.8,False,heavy_project,3 source files; 39 source changed lines; cross-file reference patch; requires API/domain knowledge
23,full_study_heavy,pybughive_pandas_14522,pandas,14522,83,Categorical.searchsorted() uses lexical order instead of the provided categorical order,2,12,1,87,3.8,False,heavy_project,2 source files; 87 test changed lines; cross-file reference patch; requires API/domain knowledge
24,full_study_heavy,pybughive_pandas_15428,pandas,15428,81,BUG: pd.cut with bins=1 and input all 0s,2,10,1,81,3.8,False,heavy_project,2 source files; 81 test changed lines; cross-file reference patch; requires API/domain knowledge
25,full_study_heavy,pybughive_salt_62988,salt,62988,78,[BUG] module.run new style defintion is identified as legacy,2,7,1,61,3.8,True,heavy_project,2 source files; 61 test changed lines; has broader full-test command; cross-file reference patch
26,full_study_heavy,pybughive_poetry_3224,poetry,3224,77,Extra dependencies for package on private repo uninstalled when running `poetry install`.,1,23,4,206,3.8,False,heavy_install_steps,4 test files; 206 test changed lines
27,full_study_heavy,pybughive_pandas_14682,pandas,14682,76,AmbiguousTimeError on groupby when including a DST change,3,19,1,28,3.8,False,heavy_project,3 source files; 28 test changed lines; cross-file reference patch; requires API/domain knowledge
28,full_study_heavy,pybughive_pandas_15424,pandas,15424,76,Indexing MultiIndex with NDFrame indexer fails if index of indexer does not contain 0,2,28,1,34,3.8,False,heavy_project,2 source files; 28 source changed lines; 34 test changed lines; cross-file reference patch; requires API/domain knowledge
29,full_study_heavy,pybughive_poetry_3213,poetry,3213,76,[RecursionError] maximum recursion depth exceeded while calling a Python object,1,52,1,56,3.8,False,heavy_install_steps,52 source changed lines; 56 test changed lines
30,full_study_heavy,pybughive_jax_8634,jax,8634,74,Incorrect gradient for segment sum,2,58,1,11,3.10,False,heavy_install_steps;heavy_project,2 source files; 58 source changed lines; cross-file reference patch; title mentions 'incorrect'; requires API/domain knowledge
31,full_study_heavy,pybughive_pandas_15676,pandas,15676,74,BUG: merge_asof only merges by first column of 'by=' list,2,26,1,35,3.8,False,heavy_project,2 source files; 26 source changed lines; 35 test changed lines; cross-file reference patch; requires API/domain knowledge
32,full_study_heavy,pybughive_salt_64280,salt,64280,74,[BUG] Mako error on pillars render after upgrade to 3006.1,2,7,1,28,3.8,True,heavy_project,2 source files; 28 test changed lines; has broader full-test command; cross-file reference patch; title mentions 'regression'
33,full_study_heavy,pybughive_jax_15663,jax,15663,72,Source location info is incorrectly shared via caching,3,11,2,64,3.10,False,heavy_install_steps;heavy_project,3 source files; 2 test files; 64 test changed lines; cross-file reference patch; title mentions 'incorrect'; requires API/domain knowledge
34,full_study_heavy,pybughive_pandas_14466,pandas,14466,72,BUG: incorrect broadcasting that could casuse dtype coercion in a groupby-transform,2,25,1,12,3.8,False,heavy_project,2 source files; 25 source changed lines; cross-file reference patch; title mentions 'incorrect'; requires API/domain knowledge
35,full_study_heavy,pybughive_pandas_14416,pandas,14416,69,Concat with axis rows,2,9,1,59,3.8,False,heavy_project,2 source files; 59 test changed lines; cross-file reference patch; requires API/domain knowledge
36,full_study_heavy,pybughive_salt_64477,salt,64477,69,[BUG] file.symlink will not replace/update existing symlink,2,5,1,22,3.8,True,heavy_project,2 source files; has broader full-test command; cross-file reference patch; title mentions 'regression'
37,full_study_heavy,pybughive_freqtrade_8300,freqtrade,8300,51,"In stoploss limit order, stop price should be more than limit price",2,20,3,16,3.8,True,heavy_install_steps;heavy_project,2 source files; 3 test files; has broader full-test command; cross-file reference patch
38,full_study_heavy,pybughive_poetry_3115,poetry,3115,45,Poetry 1.1.2 does not export dependency url for nested git dependencies,1,11,1,60,3.8,False,heavy_install_steps,60 test changed lines; title mentions 'nested'
39,full_study_heavy,pybughive_salt_59705,salt,59705,42,[BUG] (?) regression (!)(?) in 3002.5 for linux yum pkg version numbers - AttributeError: 'float' object has no attribute 'lstrip',1,27,1,1,3.8,True,heavy_project,27 source changed lines; has broader full-test command; title mentions 'regression'
40,full_study_heavy,pybughive_freqtrade_7424,freqtrade,7424,40,"custom_stoploss is not updated at next ""stoploss_on_exchange_interval""",2,14,1,11,3.8,True,heavy_install_steps;heavy_project,2 source files; has broader full-test command; cross-file reference patch; requires API/domain knowledge
41,full_study_heavy,pybughive_poetry_3263,poetry,3263,40," Poetry attempts to install all VCS deps as editable, even when `develop = false`.",2,3,2,10,3.8,False,heavy_install_steps,2 source files; 2 test files; cross-file reference patch
42,full_study_heavy,pybughive_poetry_3303,poetry,3303,38,Regression: 403 Auth Failure for S3-hosted (Cloudfront) Private Repos,1,13,1,15,3.8,False,heavy_install_steps,title mentions 'regression'; requires API/domain knowledge
43,full_study_heavy,pybughive_poetry_3077,poetry,3077,37,Poetry Never Updates pywin32,1,12,3,34,3.8,False,heavy_install_steps,3 test files; 34 test changed lines
44,full_study_heavy,pybughive_poetry_2657,poetry,2657,28,Project package in 'src/' folder is not added to python path after install,1,12,1,40,3.8,False,heavy_install_steps,40 test changed lines
45,full_study_heavy,pybughive_jax_10315,jax,10315,13,Low-level error in forward-mode AD of `lax.reduce_window_sum_p`,2,7,1,11,3.10,False,heavy_install_steps;heavy_project,2 source files; cross-file reference patch; requires API/domain knowledge
46,full_study_heavy,pybughive_jax_9429,jax,9429,7,jax.tree_util.Partial is not hash-stable in jax>=0.2.22,1,31,1,10,3.10,False,heavy_install_steps;heavy_project,31 source changed lines; requires API/domain knowledge
47,full_study_heavy,pybughive_jax_9438,jax,9438,-1,TypeError: No constant handler for type: <class 'jax.core.Token'>,2,4,1,5,3.10,False,heavy_install_steps;heavy_project,2 source files; cross-file reference patch; requires API/domain knowledge
48,full_study_heavy,pybughive_freqtrade_8755,freqtrade,8755,-4,OKX: Create order fails while adjusting position due to inability to change leverage while open orders are active,1,21,1,4,3.8,True,heavy_install_steps;heavy_project,has broader full-test command
49,full_study_heavy,pybughive_jax_10834,jax,10834,-5,`lax.reduce_window` and its derivatives fail on scalar inputs,1,14,1,20,3.10,False,heavy_install_steps;heavy_project,requires API/domain knowledge
50,full_study_heavy,pybughive_freqtrade_8082,freqtrade,8082,-13,Consumer/Producer - Error on producer side when calling dataframe.iloc,1,12,1,5,3.8,True,heavy_install_steps;heavy_project,has broader full-test command
51,full_study_heavy,pybughive_freqtrade_8229,freqtrade,8229,-14,"Order {trade.open_order_id} for {trade.pair} not cancelled, as the filled amount of {filled_val} would result in an unexitable trade.",1,5,1,11,3.8,True,heavy_install_steps;heavy_project,has broader full-test command; requires API/domain knowledge
52,full_study_heavy,pybughive_freqtrade_8562,freqtrade,8562,-14,webhook entry doesnt work ,1,8,1,25,3.8,True,heavy_install_steps;heavy_project,25 test changed lines; has broader full-test command
53,full_study_heavy,pybughive_freqtrade_8758,freqtrade,8758,-15,Change logic how stoploss_on_exchange orders are build,1,4,1,10,3.8,True,heavy_install_steps;heavy_project,has broader full-test command; requires API/domain knowledge
54,full_study_heavy,pybughive_jax_13857,jax,13857,-18,AttributeError: _src when importing jax,1,9,1,19,3.10,False,heavy_install_steps;heavy_project,title mentions 'import'; requires API/domain knowledge
55,full_study_heavy,pybughive_freqtrade_8714,freqtrade,8714,-24,reload markets frequently,1,2,1,16,3.8,True,heavy_install_steps;heavy_project,has broader full-test command
